CLUSTER PERFORMANCE ANALYSIS REPORT
==================================================
Generated: 2025-08-08 12:56:10
Analysis Period: 7 days

PERFORMANCE SUMMARY
--------------------
Clusters analyzed: 8897
Average CPU utilization: 19.28%
Average memory utilization: 48.77%

DETAILED METRICS
--------------------
          cluster_id  driver  data_points  avg_cpu_utilization  peak_cpu_utilization  avg_cpu_wait  avg_memory_utilization  peak_memory_utilization  avg_network_mb_received_per_minute  avg_network_mb_sent_per_minute
0807-070013-qhfooily    True            6                98.05                 98.23          0.00                   43.80                    43.96                               16.94                            5.64
0803-070012-pbkwms5u    True            6                97.95                 98.13          0.00                   42.87                    43.28                               16.55                            5.30
0801-070014-yxxjq61e    True            7                97.80                 98.29          0.00                   43.14                    43.58                               16.89                            5.51
0802-070014-4hwg25g2    True            7                97.79                 97.91          0.00                   43.75                    43.84                               16.58                            5.40
0804-070014-56pylphu    True            6                97.62                 97.68          0.00                   44.07                    44.22                               17.19                            5.69
0805-070014-vaqt3y1e    True            6                97.25                 97.73          0.00                   43.11                    43.20                               17.05                            5.38
0806-070013-29ovht02    True            7                96.48                 97.17          0.00                   43.50                    43.93                               16.42                            5.45
0806-025000-5m1la6mq   False            5                94.23                 94.23          0.47                   71.19                    71.19                                2.19                            0.57
0806-035309-0mxg0cnm   False            5                91.25                 91.25          0.36                   68.66                    68.66                                3.36                            0.83
0806-054414-ptbugd1u   False            5                90.31                 90.31          1.72                   64.86                    64.86                                2.92                            0.70
0805-225901-zj18h1xu   False            5                90.30                 90.30          0.68                   68.25                    68.25                                9.86                            0.94
0806-113423-ddr8asr6   False            5                90.18                 90.18          2.41                   64.15                    64.15                                0.78                            0.57
0806-083222-xo0ahseq   False            5                89.87                 89.87          2.66                   62.96                    62.96                               12.64                            0.53
0806-072606-qtnr6nma   False            5                89.45                 89.45          0.41                   69.03                    69.03                                6.64                            0.81
0806-025938-ob8l5f6a   False            5                88.84                 88.84          2.54                   65.42                    65.42                                5.73                            0.79
0807-095750-4jddrpqq   False           12                88.69                 90.91          0.49                   55.07                    56.51                              298.60                           78.43
0806-010824-u1kd36du   False            5                88.19                 88.19          0.14                   58.35                    58.35                                0.26                            1.42
0807-215810-sln9bdw2   False           12                87.94                 89.18          0.36                   59.48                    60.41                              277.88                           73.16
0807-060636-uhzxo07m   False            5                87.90                 97.13          0.03                   60.68                    63.43                                0.21                            0.97
0806-033759-nmckvlsy   False            5                87.14                 87.14          0.27                   67.65                    67.65                                5.70                            0.52
0806-222634-2jldkcku   False           13                86.57                 90.97          0.22                   59.16                    60.38                              274.80                           72.21
0806-004714-pvp5qrrm   False            5                86.07                 86.07          0.51                   69.13                    69.13                                5.17                            1.58
0806-162813-3ag0wvma   False           14                85.51                 91.75          0.56                   59.67                    61.04                              225.07                           59.23
0806-003243-rde0zspe   False           14                85.09                 92.47          0.54                   61.28                    63.11                              288.56                           76.13
0806-114402-da1pc7wy   False            6                84.50                 88.87          0.46                   59.47                    59.61                              240.19                           63.01
0805-183505-jedfxt02   False           11                84.44                 89.59          0.55                   63.73                    68.81                              175.64                           46.02
0805-163151-g1cowcnm   False            9                84.26                 90.06          0.42                   60.90                    61.73                              225.57                           59.33
0806-042003-7skdllya   False            5                84.18                 84.18          0.73                   66.19                    66.19                                8.83                            0.80
0806-042035-l8qumn0y   False            5                84.08                 84.08          0.41                   70.00                    70.00                                2.37                            0.73
0806-023453-tznnha1e   False            5                83.78                 83.78          0.42                   70.16                    70.16                                5.88                            0.70
0804-110821-80uoxwr6   False          607                83.67                100.00          0.01                   38.67                    52.93                               12.15                            1.96
0806-060804-e0ffmzgy   False            5                82.15                 82.15          0.62                   66.25                    66.25                                5.49                            0.65
0805-222549-oo3c3v2q   False            5                81.48                 81.48          0.16                   68.36                    68.36                                3.62                            0.84
0806-102822-k96p7p5e   False            5                81.37                 81.37          1.69                   66.03                    66.03                                2.71                            0.68
0801-063303-axhxui36   False           18                80.39                 92.50          0.33                   57.09                    61.15                              217.27                           56.99
0805-093613-o5brfk76   False           12                79.81                 91.81          0.86                   61.19                    66.25                              153.38                           40.19
0808-024403-bavh23o2   False         1159                79.30                 99.99          0.01                   39.79                    57.17                               10.51                            1.31
0805-224358-96ndxj4i   False            5                78.81                 78.81          0.54                   64.16                    64.16                                5.55                            0.85
0806-055009-2rxgfyfm   False            5                78.73                 78.73          0.82                   66.68                    66.68                                3.34                            0.74
0804-124734-mhjwa87m   False           18                78.63                 96.01          0.47                   59.02                    72.04                              193.73                           51.08
0807-235538-laopdssy   False          459                78.58                 99.51          5.86                   40.66                    60.14                             1227.31                         1892.99
0806-035245-4oh6yryq   False            5                78.45                 78.45          0.07                   67.67                    67.67                                2.90                            0.56
0806-114714-jzo7wy6q   False            5                77.93                 77.93          0.21                   65.27                    65.27                                2.35                            0.65
0806-060156-lcemwwsy   False            5                77.49                 77.49          0.17                   69.01                    69.01                                7.00                            0.72
0807-153651-5x17x8gi   False           14                77.37                 90.27          0.32                   60.94                    68.75                              192.49                           50.51
0806-051356-j2q7okxu   False            5                76.92                 76.92          1.84                   64.83                    64.83                                1.88                            0.69
0806-033530-l9ojxwya   False            5                76.85                 76.85          0.65                   69.81                    69.81                                2.87                            0.58
0801-065557-4i3ms3rm   False           20                76.43                 93.54          0.52                   54.85                    60.22                              200.86                           52.23
